;;;;;;;;;;;;;;
#;Kategorie;App name;Kurzbeschreibung;Nutzbarkeit (DE);Handlungsempfehlung für deutsche Unternehmen;EU-Hosting;DSGVO;EU AI Act;Quellen / Belege;Content check.;DSGVO;Storage;AVV/DPA;EU AI Act
1;"


KI-Assistent / LLM
";OpenAI;ChatGPT und API zur Erstellung von Texten, Code oder Bildern.;"🟢 – Sehr leistungsfähig; rechtlich gut steuerbar bei EU-Nutzung";"Nur Enterprise-Tarif mit EU-Region nutzen; AVV abschließen; keine sensiblen Daten in Prompts; Datenschutzbeauftragten einbeziehen.";🟢 – EU-Datenregion für Enterprise-Kunden verfügbar;🟡 – Nur DSGVO-konform mit AVV/DPA und EU-Datenhaltung;🟡 – Transparenz- & Dokumentationspflichten bei sensiblen Anwendungen;🔹 OpenAI Data Residency (Blog) • OpenAI EU DPA Info;All links verified & accessible. Content aligns with row claims about EU hosting, DSGVO compliance & DPA availability.;https://openai.com/policies/privacy-policy/;https://openai.com/business-data/;https://openai.com/policies/data-processing-addendum/;
2;"


KI-Assistent / LLM
";Anthropic (Claude);KI-Chatbot und Textassistent, ähnlich ChatGPT.;🟡 – Leistungsstark, aber Datenschutzprobleme bei Consumer-Version;"Nur Enterprise-Vertrag nutzen; in Datenschutzfolgeabschätzung prüfen; keine vertraulichen Inhalte im Claude-Webchat eingeben.";🟡 – EU-Hosting teils verfügbar für Enterprise-Kunden;"🟡 – DSGVO-konform nur bei Enterprise; Consumer-Version speichert Daten";🟡 – Neue Trainingsregeln erfordern Transparenzprüfung;🔹 Anthropic Privacy Policy • Claude.ai Data Usage Update (May 2024);Enterprise policy unclear for EU hosting specifics. Privacy confirmed but US transfers documented. Subprocessor list available.;https://www.anthropic.com/legal/privacy;https://trust.anthropic.com/;https://www.anthropic.com/subprocessors;https://www.anthropic.com/legal/commercial-terms
3;"


Coding-Tool";Replit;Software-Entwicklungstool mit KI-Unterstützung zur Code-Erstellung.;🟡 – Technisch nützlich, aber IP-Risiken bei offenem Code;"Nur mit AVV und EU-Hosting nutzen; keine vertraulichen Code-Bestandteile in Public Workspaces speichern; für interne Nutzung Enterprise-Tarif wählen.";🟡 – EU-Region nur auf Anfrage / Enterprise;🟡 – DSGVO-konform, aber Quellcode ist schutzwürdig;🟡 – AI Act relevant, wenn Code produktive Systeme beeinflusst;🔹 Replit Privacy Policy • Replit DPA (Legal Section);Privacy policy & trust center accessible. EU hosting requires explicit inquiry. DPA available for enterprise. Code security primary concern.;https://www.replit.com/privacy;https://www.replit.com/site/trust;https://www.replit.com/legal/dpa;
4;"


Asset-Marktplatz / Design-Tool";Freepik;Plattform für Grafiken, Icons, Templates und Design-Vorlagen.;🟡 – Gute Ressource, aber Lizenz- und Urheberrisiken möglich;"Kommerzielle Lizenzen prüfen; Bilder mit Personen meiden, falls keine Model-Rechte; interne Freigabeprozesse für Asset-Nutzung etablieren.";🟢 – EU-Server laut Trust Center;🟢 – DSGVO-konform nutzbar;🟢 – EU AI Act kaum relevant;🔹 Freepik Privacy Policy • Freepik License Terms;Privacy policy 404 error. Trust Center & security documents available. EU hosting claim requires verification from trust portal.;https://www.freepik.com/legal/privacy;https://www.freepik.com/trust-center;https://www.freepik.com/legal/terms-of-use;
5;"


Voice-AI / Stimmengenerator";ElevenLabs;KI-Stimmen, Text-to-Speech, und Voice-Cloning.;🟡 – Sehr innovativ, aber rechtlich heikel bei echter Personenstimme;"Nur mit ausdrücklicher Einwilligung der Sprecher; Enterprise-EU-Region aktivieren; keine realen Stimmen imitieren; internen Ethik-Check durchführen.";🟡 – EU-Datenhaltung für Enterprise verfügbar;🔴 – Personenstimmen = biometrische Daten → Einwilligung nötig;🔴 – Unter EU AI Act als Hochrisiko-KI klassifizierbar;🔹 ElevenLabs Trust Center • ElevenLabs EU Data Residency Update;Privacy & trust portal verified. EU data residency confirmed for enterprise. Biometric data handling critical. Voice cloning high-risk under AI Act.;https://elevenlabs.io/privacy;https://trust.elevenlabs.io/;https://trust.elevenlabs.io/data-residency;
6;"


Coding-Tool";Cursor;Software-Entwicklungstool mit KI-Assistenz für Code.;🟡 – Technisch nützlich, vertrauliche Projekte vorsichtig;"Privacy Mode / Zero-Retention aktivieren; Enterprise / On-Prem für proprietären Code";🟡 – Privacy Mode & Enterprise-Optionen mit EU-Hosting;🟡 – DSGVO: Quellcode vertraulich, Privacy Mode nutzen;🟡 – EU AI Act: Traceability für produktiven Code nötig;🔹 Privacy;Privacy Mode available with zero-retention. EU hosting option exists but specific regions not detailed. Enterprise DPA needed.;https://cursor.com/privacy;https://docs.cursor.com/privacy;https://cursor.com/terms;
7;"


Meeting-Assistenz";Fyxer;E-Mail- und Meeting-Assistent mit KI-Unterstützung.;🟡 – Nützlich, personenbezogene Inhalte vorsichtig;"AVV/DPA einholen; keine vertraulichen Inhalte; interne Richtlinien für Datenzugriff";🟡 – EU-Server laut Trust Center möglich;🟡 – DSGVO-konform bei Enterprise & Pseudonymisierung;🟡 – EU AI Act: Automatisierungspflichten prüfen;🔹 Privacy Policy;Limited public information. Privacy policy & trust claims available. EU hosting requires contact for specifics. DPA critical.;https://www.fyxer.ai/privacy;https://www.fyxer.ai/trust;https://www.fyxer.ai/contact-sales;
8;"


Customer-Concierge / CX AI";Lorikeet;Conversational AI für Kundenservice & Sales.;🟡 – Funktionsfähig, Daten sorgfältig behandeln;"AVV abschließen; Rollen- & Zugriffstrennung; Consent-Flows implementieren";🟡 – EU-Hosting Enterprise möglich;🟡 – DSGVO-konform bei Enterprise;🟡 – EU AI Act: bei automatisierten Entscheidungen Dokumentation nötig;🔹 Privacy Policy;Privacy policy available. EU hosting for enterprise requires clarification. AVV/DPA critical. Automated decision documentation mandatory.;https://www.lorikeet.ai/privacy;https://www.lorikeet.ai/security;https://www.lorikeet.ai/enterprise;
9;"


Recruiting / Interviews";Micro1;KI-Interviewplattform & Talent-Screening.;🟡 – Nützlich nur mit DPA & Einwilligungen;"DPIA durchführen; Kandidateneinwilligung einholen; Menschen-in-der-Schleife; Enterprise-EU-Hosting nutzen";"🟡 – EU-Hosting möglich; Enterprise-Option";🔴 – Bewerberdaten sehr sensibel → DSGVO-Risiken hoch;🟡 – EU AI Act: automatisierte Bewertung hochriskant;🔹 Privacy Policy;Candidate data highly sensitive. DPIA and written consent mandatory. EU hosting only for enterprise. Automated scoring = high-risk AI.;https://www.micro1.ai/privacy;https://www.micro1.ai/security;https://www.micro1.ai/dpa;https://www.micro1.ai/enterprise
10;"


Knowledge / Workspace";Notion;Wissensmanagement mit KI-gestützten Datenbanken & Docs.;🟡 – Nützlich, sensible Inhalte vorsichtig;"Enterprise-Plan + EU-Region aktivieren; AVV unterschreiben; HR-Fälle nicht in Public Pages speichern";🟢 – EU-Datenregion verfügbar;🟡 – DSGVO-konform bei Enterprise;🟡 – EU AI Act: Transparenzpflicht bei automatisierter Klassifikation;🔹 Privacy;EU region selection confirmed. Privacy policy & DPA available. Enterprise required for DSGVO. Public pages separate from private data.;https://www.notion.so/privacy;https://www.notion.so/dpa;https://www.notion.so/enterprise;
