Tool Name;Homepage;Privacy/Legal Link;DSGVO/GDPR Link;Storage/Hosting Link;DPA/AVV Link
OpenAI;https://openai.com;https://openai.com/policies/privacy-policy/;https://openai.com/policies/privacy-policy/;https://openai.com/business-data/;https://openai.com/policies/data-processing-addendum/
Anthropic;https://www.anthropic.com;https://www.anthropic.com/legal/privacy;https://www.anthropic.com/legal/privacy;https://www.anthropic.com/legal/privacy;https://www.anthropic.com/legal/data-processing-addendum
Replit;https://replit.com;https://www.replit.com/privacy;https://www.replit.com/privacy;https://www.replit.com/site/trust;https://www.replit.com/legal/dpa
Freepik;https://www.freepik.com;https://www.freepik.com/legal/privacy;https://www.freepik.com/legal/privacy;https://www.freepik.com/trust-center;https://www.freepik.com/legal/terms-of-use
ElevenLabs;https://elevenlabs.io;https://elevenlabs.io/privacy;https://elevenlabs.io/privacy;https://trust.elevenlabs.io/;https://elevenlabs.io/privacy
Cursor;https://cursor.com;https://cursor.com/privacy;https://cursor.com/privacy;https://docs.cursor.com/privacy;https://cursor.com/terms
Fyxer;https://fyxer.ai;https://www.fyxer.ai/privacy;https://www.fyxer.ai/privacy;https://www.fyxer.ai/trust;https://www.fyxer.ai/contact-sales
Lorikeet;https://www.lorikeet.ai;https://www.lorikeet.ai/privacy;https://www.lorikeet.ai/privacy;https://www.lorikeet.ai/security;https://www.lorikeet.ai/enterprise
Micro1;https://www.micro1.ai;https://www.micro1.ai/privacy;https://www.micro1.ai/privacy;https://www.micro1.ai/security;https://www.micro1.ai/dpa
Notion;https://notion.so;https://www.notion.so/privacy;https://www.notion.so/privacy;https://www.notion.so/enterprise;https://www.notion.so/dpa
Delve;https://www.delve.ai;https://www.delve.ai/privacy;https://www.delve.ai/privacy;https://www.delve.ai/security;https://www.delve.ai/dpa
Perplexity;https://www.perplexity.ai;https://www.perplexity.ai/privacy;https://www.perplexity.ai/privacy;https://www.perplexity.ai/security;https://www.perplexity.ai/enterprise
Instantly;https://instantly.ai;https://instantly.ai/privacy;https://instantly.ai/privacy;https://instantly.ai/security;https://instantly.ai/dpa
Customer.io;https://customer.io;https://customer.io/privacy;https://customer.io/legal/privacy-policy/;https://customer.io/gdpr;https://customer.io/legal/dpa
KlingAI;https://www.klingai.com;https://www.klingai.com/privacy;https://www.klingai.com/privacy;https://www.klingai.com/security;https://www.klingai.com/terms
Retell AI;https://www.retellai.com;https://www.retellai.com/privacy;https://www.retellai.com/privacy;https://www.retellai.com/compliance;https://www.retellai.com/enterprise
Canva;https://www.canva.com;https://www.canva.com/privacy;https://www.canva.com/privacy;https://www.canva.com/gdpr;https://www.canva.com/enterprise
Lovable;https://lovable.dev;https://lovable.dev/privacy;https://lovable.dev/privacy;https://supabase.com/security;https://lovable.dev/data-processing-agreement
Metaview;https://www.metaview.ai;https://www.metaview.ai/privacy;https://www.metaview.ai/privacy;https://www.metaview.ai/enterprise;https://www.metaview.ai/security
Adept;https://www.adept.ai;https://www.adept.ai/privacy;https://www.adept.ai/privacy;https://www.adept.ai/security;https://www.adept.ai/terms
Glean;https://www.glean.com;https://www.glean.com/privacy;https://www.glean.com/privacy;https://www.glean.com/security;https://www.glean.com/gdpr
Photoroom;https://www.photoroom.com;https://www.photoroom.com/privacy;https://www.photoroom.com/privacy;https://www.photoroom.com/enterprise;https://www.photoroom.com/security
Solve Intelligence;https://www.solveintelligence.ai;https://www.solveintelligence.ai/privacy;https://www.solveintelligence.ai/privacy;https://www.solveintelligence.ai/security;https://www.solveintelligence.ai/dpa
Gamma;https://www.gamma.app;https://www.gamma.app/privacy;https://www.gamma.app/privacy;https://www.gamma.app/security;https://www.gamma.app/enterprise
Clay;https://clay.earth;https://clay.earth/privacy;https://clay.earth/privacy;https://clay.earth/security;https://clay.earth/dpa
Cluely;https://www.cluely.ai;https://www.cluely.ai/privacy;https://www.cluely.ai/privacy;https://www.cluely.ai/security;https://www.cluely.ai/enterprise
Crosby;https://www.crosby.law;https://www.crosby.law/privacy;https://www.crosby.law/privacy;https://www.crosby.law/security;https://www.crosby.law/enterprise
Midjourney;https://www.midjourney.com;https://www.midjourney.com/privacy;https://www.midjourney.com/privacy;https://www.midjourney.com/security;https://www.midjourney.com/terms
Combinely;https://www.combinely.ai;https://www.combinely.ai/privacy;https://www.combinely.ai/privacy;https://www.combinely.ai/security;https://www.combinely.ai/contact
Merlin;https://www.merlin.foyer.work;https://www.merlin.foyer.work/privacy;https://www.merlin.foyer.work/privacy;https://www.merlin.foyer.work/security;https://www.merlin.foyer.work/enterprise
Descript;https://www.descript.com;https://www.descript.com/privacy;https://www.descript.com/privacy;https://www.descript.com/security;https://www.descript.com/enterprise
Grammarly;https://www.grammarly.com;https://www.grammarly.com/privacy;https://www.grammarly.com/privacy;https://www.grammarly.com/gdpr;https://www.grammarly.com/enterprise
Manus;https://www.manus.ai;https://www.manus.ai/privacy;https://www.manus.ai/privacy;https://www.manus.ai/security;https://www.manus.ai/dpa
Cognition;https://www.cognition.ai;https://www.cognition.ai/privacy;https://www.cognition.ai/privacy;https://www.cognition.ai/security;https://www.cognition.ai/enterprise
Opus Clip;https://www.opusclip.com;https://www.opusclip.com/privacy;https://www.opusclip.com/privacy;https://www.opusclip.com/security;https://www.opusclip.com/enterprise
Happyscribe;https://www.happyscribe.co;https://www.happyscribe.co/privacy;https://www.happyscribe.co/privacy;https://www.happyscribe.co/security;https://www.happyscribe.co/gdpr
11x;https://11x.ai;https://11x.ai/privacy;https://11x.ai/privacy;https://11x.ai/security;https://11x.ai/dpa
Plaud;https://www.plaud.ai;https://www.plaud.ai/privacy;https://www.plaud.ai/privacy;https://www.plaud.ai/security;https://www.plaud.ai/gdpr
Serval;https://www.serval.ai;https://www.serval.ai/privacy;https://www.serval.ai/privacy;https://www.serval.ai/trust;https://www.serval.ai/security
Ada;https://www.ada.support;https://www.ada.support/privacy;https://www.ada.support/privacy;https://www.ada.support/security;https://www.ada.support/enterprise
Otter AI;https://www.otter.ai;https://www.otter.ai/privacy;https://www.otter.ai/privacy;https://www.otter.ai/security;https://www.otter.ai/enterprise
