#;Kategorie;App name;Kurzbeschreibung;Nutzbarkeit (DE);Handlungsempfehlung für deutsche Unternehmen;EU-Hosting;DSGVO;EU AI Act;Homepage;Privacy/Legal Link;DSGVO/GDPR Link;Storage/Hosting Link;DPA/AVV Link
1;"


KI-Assistent / LLM
";OpenAI;ChatGPT und API zur Erstellung von Texten, Code oder Bildern.;"🟢 – Sehr leistungsfähig; rechtlich gut steuerbar bei EU-Nutzung";"Nur Enterprise-Tarif mit EU-Region nutzen; AVV abschließen; keine sensiblen Daten in Prompts; Datenschutzbeauftragten einbeziehen.";🟢 – EU-Datenregion für Enterprise-Kunden verfügbar;🟡 – Nur DSGVO-konform mit AVV/DPA und EU-Datenhaltung;🟡 – Transparenz- & Dokumentationspflichten bei sensiblen Anwendungen;https://openai.com;https://openai.com/policies/privacy-policy/;https://openai.com/policies/privacy-policy/;https://openai.com/business-data/;https://openai.com/policies/data-processing-addendum/
;;[LINK CHECK];;;;;;;✅ Valid (page loaded);✅ Valid (page loaded);✅ Valid (page loaded);✅ Valid (page loaded);✅ Valid (page loaded)
;;[CONTENT ANALYSIS];;;;;;;❌ No;✅ Yes;✅ Yes;✅ Yes;✅ Yes
2;"


KI-Assistent / LLM
";Anthropic (Claude);KI-Chatbot und Textassistent, ähnlich ChatGPT.;🟡 – Leistungsstark, aber Datenschutzprobleme bei Consumer-Version;"Nur Enterprise-Vertrag nutzen; in Datenschutzfolgeabschätzung prüfen; keine vertraulichen Inhalte im Claude-Webchat eingeben.";🟡 – EU-Hosting teils verfügbar für Enterprise-Kunden;"🟡 – DSGVO-konform nur bei Enterprise; Consumer-Version speichert Daten";🟡 – Neue Trainingsregeln erfordern Transparenzprüfung;https://www.anthropic.com;https://www.anthropic.com/legal/privacy;https://www.anthropic.com/legal/privacy;https://www.anthropic.com/legal/privacy;https://www.anthropic.com/legal/data-processing-addendum
;;[LINK CHECK];;;;;;;✅ Valid (page loaded);✅ Valid (page loaded);✅ Valid (page loaded);✅ Valid (page loaded);✅ Valid (page loaded)
;;[CONTENT ANALYSIS];;;;;;;✅ Yes;✅ Yes;❌ No;✅ Yes;✅ Yes
3;"


Coding-Tool";Replit;Software-Entwicklungstool mit KI-Unterstützung zur Code-Erstellung.;🟡 – Technisch nützlich, aber IP-Risiken bei offenem Code;"Nur mit AVV und EU-Hosting nutzen; keine vertraulichen Code-Bestandteile in Public Workspaces speichern; für interne Nutzung Enterprise-Tarif wählen.";🟡 – EU-Region nur auf Anfrage / Enterprise;🟡 – DSGVO-konform, aber Quellcode ist schutzwürdig;🟡 – AI Act relevant, wenn Code produktive Systeme beeinflusst;https://replit.com;https://www.replit.com/privacy;https://www.replit.com/privacy;https://www.replit.com/site/trust;https://www.replit.com/legal/dpa
4;"


Asset-Marktplatz / Design-Tool";Freepik;Plattform für Grafiken, Icons, Templates und Design-Vorlagen.;🟡 – Gute Ressource, aber Lizenz- und Urheberrisiken möglich;"Kommerzielle Lizenzen prüfen; Bilder mit Personen meiden, falls keine Model-Rechte; interne Freigabeprozesse für Asset-Nutzung etablieren.";🟢 – EU-Server laut Trust Center;🟢 – DSGVO-konform nutzbar;🟢 – EU AI Act kaum relevant;https://www.freepik.com;https://www.freepik.com/legal/privacy;https://www.freepik.com/legal/privacy;https://www.freepik.com/trust-center;https://www.freepik.com/legal/terms-of-use
5;"


Voice-AI / Stimmengenerator";ElevenLabs;KI-Stimmen, Text-to-Speech, und Voice-Cloning.;🟡 – Sehr innovativ, aber rechtlich heikel bei echter Personenstimme;"Nur mit ausdrücklicher Einwilligung der Sprecher; Enterprise-EU-Region aktivieren; keine realen Stimmen imitieren; internen Ethik-Check durchführen.";🟡 – EU-Datenhaltung für Enterprise verfügbar;🔴 – Personenstimmen = biometrische Daten → Einwilligung nötig;🔴 – Unter EU AI Act als Hochrisiko-KI klassifizierbar;https://elevenlabs.io;https://elevenlabs.io/privacy;https://elevenlabs.io/privacy;https://trust.elevenlabs.io/;https://elevenlabs.io/privacy
6;"


Coding-Tool";Cursor;Software-Entwicklungstool mit KI-Assistenz für Code.;🟡 – Technisch nützlich, vertrauliche Projekte vorsichtig;"Privacy Mode / Zero-Retention aktivieren; Enterprise / On-Prem für proprietären Code";🟡 – Privacy Mode & Enterprise-Optionen mit EU-Hosting;🟡 – DSGVO: Quellcode vertraulich, Privacy Mode nutzen;🟡 – EU AI Act: Traceability für produktiven Code nötig;https://cursor.com;https://cursor.com/privacy;https://cursor.com/privacy;https://docs.cursor.com/privacy;https://cursor.com/terms
